n,single time,two time,four time,eight time,sixteen time,thirty two time
448,312263,315289,311719,314647,317129,316028,3.28599e+06
449,307694,341191,329942,343913,353484,322449,3.43093e+06
450,315621,387326,347466,354554,351787,332472,3.3229e+06
451,338522,398522,331426,326911,341847,394829,3.43949e+06
452,345121,335154,335481,339168,331397,404480,3.52422e+06
453,417441,370580,478997,372785,451738,388256,3.43471e+06
454,340383,335790,350940,337761,368472,424705,3.70923e+06
455,353976,388854,391420,388280,374342,356343,3.44745e+06
456,347239,345709,342593,343260,345530,353789,3.41192e+06
457,451653,356339,343453,354246,363606,402771,3.44886e+06
458,376294,380217,341533,359519,354302,364638,3.71009e+06
459,357749,343945,344064,347252,357848,363451,3.62074e+06
460,397717,336701,334745,335945,351820,345409,3.39716e+06
461,355350,346325,341577,338492,342555,413338,3.41192e+06
462,395882,469187,438254,390371,396228,395950,3.663e+06
463,403663,369176,360202,363366,367403,355634,3.80932e+06
464,360495,344190,350308,358352,359899,358855,3.57813e+06
465,375959,400757,350013,358522,368154,370522,3.91119e+06
466,474533,387360,362063,355940,372229,366876,3.65318e+06
467,365940,648335,584706,379850,372027,388097,4.02009e+06
468,555598,371722,429817,562656,599708,547400,3.60868e+06
469,368450,395571,381655,371871,360823,362500,3.67424e+06
470,386105,367403,360981,364042,381119,362634,3.64442e+06
471,365461,370251,386833,385838,366762,366731,3.72282e+06
472,360600,364802,366140,360752,362292,367193,3.53256e+06
473,356794,371157,359236,367718,369762,372901,3.5814e+06
474,425432,467899,452514,532342,383562,441790,3.77357e+06
475,376012,404889,376618,399578,390908,379184,4.06337e+06
476,390319,371983,371005,380068,403410,402217,3.60716e+06
477,408581,386820,416429,381122,402593,419641,3.76033e+06
478,377790,382450,391571,383386,394972,416149,3.81025e+06
479,373029,391316,381791,384052,390705,382468,3.70378e+06
480,383393,407261,386715,386324,390962,393884,3.67998e+06
481,389585,390700,380349,385618,395143,393023,3.7327e+06
482,390027,386223,391756,392461,392070,393587,3.72589e+06
483,388772,387765,387154,392345,390082,397438,3.70744e+06
484,402095,396846,397327,398249,400249,399042,3.7236e+06
485,401403,397499,392724,390127,389724,396345,3.79701e+06
486,392715,403510,402542,392538,400284,412617,3.78613e+06
487,418941,404259,398166,404371,407685,408789,3.80207e+06
488,403618,405431,411061,405439,406891,405847,3.83669e+06
489,408500,410641,407386,409266,415538,414738,3.83012e+06
490,415636,409424,401471,411404,413862,418517,3.88404e+06
491,411043,421007,411402,420560,414427,421745,3.84888e+06
492,429142,419589,423659,421226,419611,428403,3.92774e+06
493,434881,427963,430270,442397,438543,437973,3.95569e+06
494,438299,422657,432934,433703,437497,440063,3.9584e+06
495,448999,435078,428000,430079,443685,436251,4.00405e+06
496,430555,446008,437555,441702,445813,445960,3.9985e+06
497,427160,443316,442408,432754,440088,447875,4.01145e+06
498,442307,445612,436566,435056,446388,438272,4.02625e+06
499,452460,430041,440378,446685,453521,461165,4.04995e+06
