n,single time,two time,muti time
643,1.14201e+06,1.07831e+06,7.11934e+06
644,1.14964e+06,1.11203e+06,7.20981e+06
645,1.10032e+06,1.11846e+06,7.22281e+06
646,1.10889e+06,1.12476e+06,7.24869e+06
647,1.13316e+06,1.10784e+06,7.22386e+06
648,1.11445e+06,1.1638e+06,7.28298e+06
649,1.04733e+06,1.03794e+06,7.11192e+06
650,1.06738e+06,1.03849e+06,6.98207e+06
651,1.04372e+06,1.06915e+06,6.9656e+06
652,1.04491e+06,1.04127e+06,6.99931e+06
653,1.05208e+06,1.06932e+06,7.02594e+06
654,1.06706e+06,1.04993e+06,7.05723e+06
655,1.05954e+06,1.07614e+06,7.06812e+06
656,1.0782e+06,1.09124e+06,7.09416e+06
657,1.04972e+06,1.0818e+06,7.12756e+06
658,1.08978e+06,1.11581e+06,7.1398e+06
659,1.06704e+06,1.09976e+06,7.17816e+06
660,1.12265e+06,1.10425e+06,7.19832e+06
661,1.11407e+06,1.11122e+06,7.22522e+06
662,1.11756e+06,1.12984e+06,7.25459e+06
663,1.11154e+06,1.11976e+06,7.26918e+06
664,1.13266e+06,1.12816e+06,7.28948e+06
665,1.1312e+06,1.13202e+06,7.3205e+06
666,1.11852e+06,1.13955e+06,7.34798e+06
667,1.12725e+06,1.14341e+06,7.37118e+06
668,1.1372e+06,1.15074e+06,7.41631e+06
669,1.14946e+06,1.11896e+06,7.40591e+06
670,1.15351e+06,1.1509e+06,7.46603e+06
671,1.16428e+06,1.17202e+06,7.4765e+06
672,1.16728e+06,1.18067e+06,7.50988e+06
673,1.18866e+06,1.18471e+06,7.51664e+06
674,1.1723e+06,1.16489e+06,7.5489e+06
675,1.1831e+06,1.17883e+06,7.56479e+06
676,1.16794e+06,1.1969e+06,7.61214e+06
677,1.16267e+06,1.19252e+06,7.61702e+06
678,1.21196e+06,1.20124e+06,7.65206e+06
679,1.18136e+06,1.20335e+06,7.70244e+06
680,1.22229e+06,1.20619e+06,7.68041e+06
681,1.20925e+06,1.22038e+06,7.72389e+06
682,1.2169e+06,1.21335e+06,7.79162e+06
683,1.20933e+06,1.22872e+06,7.78624e+06
684,1.41395e+06,1.29045e+06,7.89032e+06
685,1.36702e+06,1.34623e+06,8.43438e+06
686,1.36321e+06,1.37221e+06,8.30827e+06
687,1.3791e+06,1.38259e+06,8.35672e+06
688,1.38185e+06,1.3936e+06,8.37961e+06
