n,single time,two time,four time,eight time,sixteen time,thirty two time
483,363212,435334,401959,808878,836986,852558,862068
484,362876,391176,407278,799554,839654,847462,864855
485,367628,398194,409015,824528,836732,855994,869419
486,368270,394369,410649,836522,851266,865520,887725
487,374438,400256,413178,844168,855208,868674,889735
488,394075,408206,416776,849253,856309,872173,904199
489,380325,398234,419555,834525,854655,878524,899779
490,382155,402074,425972,851998,872458,872290,905038
491,393312,417100,424739,870655,879306,885129,910531
492,412221,409738,427604,861757,872992,898329,919306
493,386079,413104,430354,865935,888803,901176,914902
494,392934,412198,435180,859246,879190,909335,938041
495,392932,416713,440195,873256,899118,910443,932209
496,396521,421205,439703,900813,907670,921482,943398
497,401230,425205,442427,923491,887809,920373,919305
498,400718,429818,445757,876466,914453,934408,955785
499,404137,426793,450439,888382,907341,932454,962539
500,406133,435335,452433,890241,939551,956394,957396
501,410979,430350,458443,908226,945767,947816,945395
502,410159,443508,458745,911361,943056,954650,969246
503,415323,437389,464554,908619,946765,964943,973249
504,421737,449636,464483,933919,957259,967533,984231
505,431390,445867,469259,923416,936274,965063,981797
506,425277,457171,472059,958548,947481,969728,999230
507,426342,456894,477577,954072,963978,975422,1.00075e+06
508,442427,460905,476891,962310,969420,985830,1.01289e+06
509,433837,468833,480613,940310,979537,992130,1.01673e+06
510,436946,462194,483761,965342,972534,986747,1.02488e+06
511,492553,468951,487500,957188,975902,1.00308e+06,1.02043e+06
512,449667,472579,489359,957933,992259,1.01042e+06,1.03122e+06
513,447189,477452,498527,974377,1.01464e+06,1.02291e+06,1.04909e+06
514,450586,476834,499834,980287,1.00745e+06,1.0253e+06,1.04004e+06
515,454354,488972,501282,1.0047e+06,1.01291e+06,1.03412e+06,1.05066e+06
516,456903,489390,509047,1.02866e+06,1.02637e+06,1.02989e+06,1.05823e+06
517,460833,482759,507719,1.01012e+06,1.0203e+06,1.0485e+06,1.05987e+06
518,474423,494460,514879,1.00219e+06,1.01745e+06,1.04959e+06,1.06893e+06
519,476260,494953,514294,1.0078e+06,1.02924e+06,1.05593e+06,1.07763e+06
520,477464,502246,519800,1.04171e+06,1.04025e+06,1.06444e+06,1.08002e+06
521,469950,503964,527617,1.01125e+06,1.05588e+06,1.07747e+06,1.08824e+06
522,478517,506442,529991,1.06112e+06,1.07838e+06,1.08137e+06,1.0883e+06
523,483300,503203,530490,1.08966e+06,1.07056e+06,1.08399e+06,1.0959e+06
524,478749,505201,537750,1.05741e+06,1.05772e+06,1.087e+06,1.11094e+06
525,486201,519879,541686,1.0405e+06,1.08228e+06,1.09741e+06,1.1161e+06
526,488791,522092,542643,1.07367e+06,1.08691e+06,1.08951e+06,1.11846e+06
527,503699,525468,543729,1.05956e+06,1.09646e+06,1.11245e+06,1.12705e+06
528,509434,527700,547708,1.08214e+06,1.06647e+06,1.10617e+06,1.13963e+06
529,503339,527437,552609,1.09496e+06,1.1178e+06,1.11976e+06,1.13625e+06
530,503692,533230,555924,1.0997e+06,1.11092e+06,1.12899e+06,1.14525e+06
531,507691,538183,559413,1.12827e+06,1.09118e+06,1.12602e+06,1.15492e+06
532,511977,540677,562841,1.10691e+06,1.10926e+06,1.13913e+06,1.15283e+06
533,511649,543022,568845,1.13164e+06,1.13884e+06,1.13908e+06,1.15785e+06
534,515657,550800,572537,1.10675e+06,1.14523e+06,1.15722e+06,1.18715e+06
535,521191,546852,575146,1.1207e+06,1.1412e+06,1.14846e+06,1.19438e+06
536,523173,551437,577290,1.11775e+06,1.11203e+06,1.16483e+06,1.18416e+06
537,526537,556352,585778,1.14639e+06,1.1617e+06,1.16906e+06,1.21276e+06
538,550759,563922,589727,1.12404e+06,1.16989e+06,1.17464e+06,1.19326e+06
539,539242,565770,589171,1.13505e+06,1.16692e+06,1.19706e+06,1.2089e+06
540,543295,567627,595172,1.14663e+06,1.18884e+06,1.18614e+06,1.21201e+06
541,547093,575849,599371,1.14553e+06,1.18594e+06,1.2001e+06,1.23419e+06
542,542101,571810,601284,1.1653e+06,1.19132e+06,1.20764e+06,1.23377e+06
543,547291,587699,606807,1.17678e+06,1.19942e+06,1.2197e+06,1.23474e+06
544,553363,584775,610559,1.17509e+06,1.20354e+06,1.21536e+06,1.23461e+06
545,555923,582043,612782,1.19079e+06,1.2082e+06,1.23404e+06,1.25376e+06
546,558600,590840,621918,1.19816e+06,1.21616e+06,1.23161e+06,1.25781e+06
547,565032,595293,621599,1.20279e+06,1.23115e+06,1.24582e+06,1.26646e+06
548,734926,592291,636181,1.26606e+06,1.20551e+06,1.24669e+06,1.26441e+06
